How much would you like to Participate?	Based on your current schedule, which classes would you attend?	Do you know any other programming languages?	If the answer to the last questions was yes. Which ones?	Have you ever taken a programming course before?	Are you a PhD student? If not, what are you?	If you are a student, how far are you into your degree?	What are your goals for the course? What do you want to get out of it?	Number of Classes He/She plans to attend
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Biomedical Librarian		My goal for this course is to learn how AI/machine-learning algorithms can be designed/applied to biomedical literature searches.  Though text and data mining have been around for many years, this technology has not yet been fully embraced by many libraries. My specific goal is to draft a Python script to handle complex reference queries--to refine search strategies and deduplicate search results at 100% accuracy in order to reduce the amount of search results that must be screened manually.  Though this may be an ambitious goal, I trust that I will develop the knowledge base needed to communicate effectively with IT and software vendors about our programming needs.	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	R and command line	Yes, it also taught python.	Postdoc		Learn how to import unstructured data and turn it into a simple data frame and generate summary stats so I can later graph the data in R.  	6
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	Starting my second year	First step in becoming a world class bioinformatician!!	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		Yes, but it did not teach python.		5th year 	Master python	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	R	Yes, but it did not teach python.	Yes	3rd Year	I am trying to learn bioinformatics, including RNA sequencing analysis and manipulation of publicly available sequencing data, to expand my research skillset. I have taken a programming class focused on R, but would like to also learn Python. 	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	3rd year	statistical analysis and publication quality data presentation/formatting skills	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	C, R, well almost like able to copy and paste from Github	Yes, but it did not teach python.	Yes	3-4 years	make myself not afraid of programming	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	1st year NGG student (2nd year now I guess)	overview of coding, might use it for my rotation 	7
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		Yes, but it did not teach python.	Yes	4th year	To learn coding that can be applicable for data analysis 	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	4th	to learn coding that can be applied to my research	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	C++	Yes, but it did not teach python.	Staff - Electronic Design Shop 		to become proficient in python 	8
I would like to register as an active participant (I want to come to class)		Yes	Java, Matlab	Yes, but it did not teach python.	Yes	3rd Year		0
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow)	No		Yes, but it did not teach python.	Yes		I would like to familiar with this language and try to analysis for high throughout put dataset. 	4
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		Yes, it also taught python.	Yes	3rd year	Re-familiarize myself with python. Learn to apply python to data analysis/bioinformatics.	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	MD/PhD	End of 3rd year (beginning of 4th)	Be more familiar with Python and how to apply it to biological research	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow)	Yes	R	No	Yes	1 year 	Become proficient at basic python 	7
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	Second year 		8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	First year	I want to learn Python programming and how I can apply it to biological questions. 	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	A tiny bit of R from Biostats 611 with Dr. Mary Putt. The focus was not on programming so I'll select "No" for the following question.	No	Yes	Rising 2nd Year	Become a bit familiar with Python, and understand its value in biomedical research through some introductory practical training, with the hope of being able to consider applying it to my research projects, if needs be.	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow)	No		No	Master’s student, Biotechnology program	About 75% done	Gain a foundation in programming to use for data analysis/visualization	7
I would like to register as an active participant (I want to come to class)	5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	Java, R	Yes, but it did not teach python.	Yes	1st year	... to learn some Python	4
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	PhD Staff Scientist (lab manager)		I work in a lab that does a lot of sequencing and bioinformatics. I currently focus on the wet bench science and pass the data to the bioinformaticians for analysis. I would like to be able to understand the analysis better and potentially be able to do my own analysis. 	7
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	Beginning second year	Learning a coding language to some proficiency	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		Yes, but it did not teach python.	Clinical Informaticist at Division of Cardiovascular Medicine at UPenn		learn about Python	7
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	R, barely	Yes, it also taught python.	Yes		Solidify basic programming knowledge and competency	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		Yes, but it did not teach python.	Yes	fourth year	I want to learn the basics in programming.	7
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	R, SAS, Stata	Yes, but it did not teach python.	Yes	4th year	Get comfortable enough with python that I can teach myself too 	7
I just want to participate in the Piazza forum		Yes	java	Yes, but it did not teach python.	lab technician			
I would like to register as an active participant (I want to come to class)	2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	Matlab, IJM	No	Yes	3rd year	Lear Python	
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	1st year	Learn how to use programming for data analysis and interpretation	
